sample_index,spontaneous_inactive,total_inactive
0,10,496
1,9,488
2,13,466
3,9,491
4,14,315
5,14,338
6,9,475
7,10,482
8,21,315
9,14,443
10,13,466
11,16,338
12,13,471
13,9,486
14,9,496
15,11,338
16,11,494
17,15,465
18,9,466
19,15,449
20,9,487
21,10,483
22,10,495
23,9,486
24,16,441
25,10,495
26,8,469
27,11,483
28,10,489
29,8,442
30,12,493
31,9,485
32,12,484
33,14,334
34,15,322
35,10,472
36,15,455
37,14,492
38,26,356
39,23,392
40,15,439
41,10,494
42,15,431
43,9,487
44,9,498
45,9,496
46,9,492
47,17,324
48,10,475
49,13,308
50,13,484
51,13,420
