node_id,name,frequency,in_degree,out_degree
0,ENSG00000111863,0.846154,14,4
1,ENSG00000114861,0.923077,40,2
2,ENSG00000164116,0.884615,10,11
3,ENSG00000176928,0.903846,5,6
4,ENSG00000155974,0.865385,29,13
5,ENSG00000279952,0.884615,28,40
6,ENSG00000138735,0.923077,8,1
7,ENSG00000102007,0.884615,27,32
8,ENSG00000130649,0.942308,26,0
9,ENSG00000196748,0.826923,9,63
10,ENSG00000227719,0.846154,13,27
11,ENSG00000120457,0.865385,10,8
12,ENSG00000250413,0.942308,6,0
13,ENSG00000165646,0.903846,6,11
14,ENSG00000262920,0.942308,20,0
15,ENSG00000073756,0.942308,4,0
16,ENSG00000003147,0.846154,13,31
17,ENSG00000163069,0.923077,12,2
18,ENSG00000124107,0.903846,13,5
19,ENSG00000273129,0.942308,10,0
20,ENSG00000153976,0.923077,12,3
21,ENSG00000070193,0.942308,28,0
22,ENSG00000256683,0.884615,13,11
23,ENSG00000113657,0.942308,24,0
24,ENSG00000154556,0.942308,7,3
25,ENSG00000119522,0.903846,10,12
26,ENSG00000129596,0.903846,24,8
27,ENSG00000277987,0.884615,29,31
28,ENSG00000116688,0.846154,15,27
29,ENSG00000263041,0.807692,3,31
30,ENSG00000204390,0.884615,1,3
31,ENSG00000074370,0.846154,13,27
32,ENSG00000248371,0.884615,6,2
33,ENSG00000186146,0.923077,12,2
34,ENSG00000258247,0.942308,6,0
35,ENSG00000133422,0.826923,5,25
36,ENSG00000253632,0.903846,1,3
37,ENSG00000162891,0.903846,5,1
38,ENSG00000110931,0.846154,6,19
39,ENSG00000253250,0.846154,13,25
40,ENSG00000118777,0.769231,3,12
41,ENSG00000105852,0.923077,18,7
42,ENSG00000254480,0.942308,25,0
43,ENSG00000273179,0.846154,9,14
44,ENSG00000130224,0.884615,15,21
45,ENSG00000211584,0.923077,12,4
46,ENSG00000144711,0.923077,15,7
47,ENSG00000162627,0.903846,7,10
48,ENSG00000076864,0.884615,10,11
49,ENSG00000183807,0.903846,15,9
50,ENSG00000069011,0.923077,9,1
51,ENSG00000158164,0.942308,17,0
52,ENSG00000227070,0.942308,27,0
53,ENSG00000117155,0.903846,8,3
54,ENSG00000087258,0.903846,7,15
55,ENSG00000155893,0.788462,1,73
56,ENSG00000172476,0.923077,7,4
57,ENSG00000043591,0.884615,32,30
58,ENSG00000173442,0.923077,12,5
59,ENSG00000143344,0.846154,14,24
60,ENSG00000196844,0.769231,2,45
61,ENSG00000163840,0.846154,12,5
62,ENSG00000138744,0.884615,24,28
63,ENSG00000238107,0.923077,13,5
64,ENSG00000075213,0.942308,6,0
65,ENSG00000196262,0.884615,12,17
66,ENSG00000084070,0.942308,9,0
67,ENSG00000147689,0.903846,5,12
68,ENSG00000137124,0.75,1,33
69,ENSG00000178927,0.903846,10,15
70,ENSG00000149554,0.865385,7,7
71,ENSG00000034693,0.923077,10,1
72,ENSG00000136867,0.846154,8,19
73,ENSG00000184702,0.903846,6,13
74,ENSG00000204128,0.846154,7,18
75,ENSG00000116791,0.942308,7,0
