graph_index,name,frequency
230,ENSG00000060762,0.226453
356,ENSG00000074211,0.154309
551,ENSG00000091181,0.164329
674,ENSG00000100600,0.196393
790,ENSG00000102984,0.190381
837,ENSG00000104081,0.122244
866,ENSG00000104760,0.218437
982,ENSG00000106852,0.284569
1120,ENSG00000111321,0.198397
1132,ENSG00000111669,0.114228
1137,ENSG00000111737,0.142285
1301,ENSG00000115970,0.238477
1306,ENSG00000116017,0.200401
1433,ENSG00000120053,0.116232
1443,ENSG00000120332,0.248497
1530,ENSG00000123453,0.124248
1580,ENSG00000124785,0.158317
1595,ENSG00000125508,0.350701
1703,ENSG00000128683,0.184369
1832,ENSG00000132205,0.264529
1915,ENSG00000133985,0.216433
1934,ENSG00000134463,0.244489
1940,ENSG00000134612,0.218437
1948,ENSG00000134824,0.288577
1970,ENSG00000135144,0.182365
1971,ENSG00000135148,0.136273
2009,ENSG00000135951,0.280561
2047,ENSG00000136643,0.250501
2546,ENSG00000149483,0.288577
2572,ENSG00000150676,0.302605
2794,ENSG00000158669,0.252505
2809,ENSG00000159208,0.284569
2843,ENSG00000160211,0.242485
3142,ENSG00000166295,0.182365
3167,ENSG00000166743,0.330661
3211,ENSG00000167550,0.198397
3259,ENSG00000168070,0.180361
3332,ENSG00000169248,0.126253
3505,ENSG00000173334,0.114228
3544,ENSG00000174156,0.190381
3576,ENSG00000174951,0.242485
3601,ENSG00000175509,0.196393
3702,ENSG00000177721,0.180361
3777,ENSG00000180044,0.210421
3783,ENSG00000180304,0.142285
3802,ENSG00000181026,0.210421
3930,ENSG00000184500,0.108216
3962,ENSG00000185015,0.198397
3982,ENSG00000185306,0.184369
4045,ENSG00000186907,0.274549
4070,ENSG00000187653,0.128257
4071,ENSG00000187695,0.212425
4090,ENSG00000188242,0.180361
4113,ENSG00000188818,0.366733
4140,ENSG00000196235,0.250501
4244,ENSG00000198028,0.206413
4281,ENSG00000198535,0.11022
4354,ENSG00000202111,0.124248
4356,ENSG00000202343,0.188377
4462,ENSG00000206634,0.222445
4472,ENSG00000207503,0.190381
4484,ENSG00000211691,0.280561
4486,ENSG00000211938,0.118236
4536,ENSG00000213699,0.12024
4578,ENSG00000214954,0.162325
4603,ENSG00000215914,0.262525
4642,ENSG00000221988,0.124248
4657,ENSG00000223496,0.136273
4672,ENSG00000224269,0.344689
4688,ENSG00000224899,0.182365
4698,ENSG00000225328,0.130261
4699,ENSG00000225334,0.184369
4745,ENSG00000226686,0.232465
4748,ENSG00000226745,0.11022
4760,ENSG00000227191,0.218437
4771,ENSG00000227695,0.324649
4818,ENSG00000229395,0.236473
4823,ENSG00000229611,0.272545
4838,ENSG00000230165,0.226453
4905,ENSG00000232807,0.238477
4923,ENSG00000233337,0.136273
4935,ENSG00000233577,0.388778
4944,ENSG00000233893,0.162325
4953,ENSG00000234176,0.162325
4994,ENSG00000235354,0.242485
5026,ENSG00000236682,0.158317
5045,ENSG00000237425,0.258517
5055,ENSG00000237978,0.170341
5066,ENSG00000238417,0.104208
5067,ENSG00000238870,0.166333
5106,ENSG00000240857,0.168337
5130,ENSG00000242085,0.252505
5137,ENSG00000242307,0.198397
5147,ENSG00000242687,0.146293
5149,ENSG00000242781,0.176353
5164,ENSG00000243537,0.200401
5187,ENSG00000244756,0.208417
5190,ENSG00000244968,0.180361
5255,ENSG00000250120,0.148297
5265,ENSG00000250620,0.270541
5296,ENSG00000252070,0.12024
5337,ENSG00000254127,0.192385
5351,ENSG00000254454,0.214429
5370,ENSG00000254978,0.246493
5385,ENSG00000255320,0.116232
5425,ENSG00000257702,0.156313
5443,ENSG00000258527,0.248497
5460,ENSG00000259017,0.12024
5519,ENSG00000260743,0.280561
5559,ENSG00000261737,0.318637
5578,ENSG00000262585,0.196393
5602,ENSG00000264049,0.174349
5608,ENSG00000264370,0.108216
5617,ENSG00000264727,0.174349
5618,ENSG00000264976,0.108216
5655,ENSG00000266958,0.220441
5716,ENSG00000268362,0.152305
5723,ENSG00000268686,0.264529
5907,ENSG00000273237,0.166333
5924,ENSG00000273542,0.142285
5928,ENSG00000273677,0.208417
5970,ENSG00000274978,0.188377
6000,ENSG00000275847,0.128257
6014,ENSG00000276434,0.224449
6041,ENSG00000277846,0.116232
6089,ENSG00000279602,0.148297
6118,ENSG00000280336,0.328657
6136,ENSG00000281741,0.146293
6137,ENSG00000281906,0.114228
