node_id,name,frequency,in_degree,out_degree
0,ENSG00000001036,0.166333,1,3
1,ENSG00000001497,0.146293,8,24
2,ENSG00000001629,0.116232,32,58
3,ENSG00000001631,0.158317,36,18
4,ENSG00000002330,0.150301,31,10
5,ENSG00000002549,0.106212,1,2
6,ENSG00000002586,0.152305,3,22
7,ENSG00000002822,0.212425,22,8
8,ENSG00000003056,0.152305,44,33
9,ENSG00000003096,0.344689,38,6
10,ENSG00000003147,0.194389,0,26
11,ENSG00000003249,0.390782,17,0
12,ENSG00000004059,0.156313,17,24
13,ENSG00000004142,0.168337,12,28
14,ENSG00000004455,0.142285,0,16
15,ENSG00000004534,0.11022,2,62
16,ENSG00000004700,0.130261,22,37
17,ENSG00000004776,0.136273,7,31
18,ENSG00000004799,0.170341,0,40
19,ENSG00000004838,0.370741,55,0
20,ENSG00000004848,0.112224,0,17
21,ENSG00000005007,0.134269,0,43
22,ENSG00000005100,0.200401,11,6
23,ENSG00000005156,0.392786,104,2
24,ENSG00000005194,0.122244,0,40
25,ENSG00000005206,0.130261,2,139
26,ENSG00000005238,0.42485,18,0
27,ENSG00000005243,0.190381,11,23
28,ENSG00000005436,0.234469,5,3
29,ENSG00000005448,0.142285,7,57
30,ENSG00000005483,0.142285,33,20
31,ENSG00000005513,0.344689,3,0
32,ENSG00000005700,0.126253,5,17
33,ENSG00000005884,0.346693,69,3
34,ENSG00000005889,0.122244,18,95
35,ENSG00000006015,0.400802,85,3
36,ENSG00000006210,0.126253,3,43
37,ENSG00000006282,0.202405,3,10
38,ENSG00000006453,0.186373,0,23
39,ENSG00000006459,0.162325,10,1
40,ENSG00000006530,0.236473,13,7
41,ENSG00000006576,0.218437,25,11
42,ENSG00000006704,0.124248,0,26
43,ENSG00000006712,0.142285,7,64
44,ENSG00000006747,0.134269,0,15
45,ENSG00000007080,0.126253,25,53
46,ENSG00000007202,0.136273,2,25
47,ENSG00000007255,0.162325,25,26
48,ENSG00000007264,0.422846,14,0
49,ENSG00000007376,0.288577,58,9
50,ENSG00000007384,0.114228,0,48
51,ENSG00000007402,0.188377,0,7
52,ENSG00000007516,0.328657,4,1
53,ENSG00000007520,0.228457,67,27
54,ENSG00000007541,0.206413,35,18
55,ENSG00000007866,0.106212,0,46
56,ENSG00000007908,0.146293,0,18
57,ENSG00000007923,0.158317,2,26
58,ENSG00000008083,0.192385,13,2
59,ENSG00000008130,0.222445,0,4
60,ENSG00000008256,0.196393,0,4
61,ENSG00000008282,0.242485,32,2
62,ENSG00000008294,0.150301,24,33
63,ENSG00000008324,0.140281,0,33
64,ENSG00000008513,0.144289,6,76
65,ENSG00000008735,0.246493,1,2
66,ENSG00000008869,0.194389,26,6
67,ENSG00000008952,0.168337,7,7
68,ENSG00000008988,0.104208,1,138
69,ENSG00000009335,0.294589,22,0
70,ENSG00000009413,0.228457,75,21
71,ENSG00000009694,0.210421,0,4
72,ENSG00000010072,0.140281,20,25
73,ENSG00000010361,0.188377,11,12
74,ENSG00000010404,0.300601,82,4
75,ENSG00000010626,0.106212,0,49
76,ENSG00000010704,0.468938,156,1
77,ENSG00000010803,0.160321,0,14
78,ENSG00000010810,0.172345,10,17
79,ENSG00000011007,0.126253,0,23
80,ENSG00000011009,0.1002,0,122
81,ENSG00000011114,0.142285,25,15
82,ENSG00000011143,0.300601,13,0
83,ENSG00000011258,0.132265,7,15
